2024-11-04 12:07:39 - Score: 1252, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:07:53 - Score: 1576, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:08:10 - Score: 568, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.955671625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:08:23 - Score: 1416, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.941336550625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:08:39 - Score: 1304, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.927216502365625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:08:57 - Score: 1292, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.9133082548301407, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:09:12 - Score: 392, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.8996086310076885, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:09:32 - Score: 932, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8861145015425732, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:09:48 - Score: 672, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8728227840194346, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:10:03 - Score: 404, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.8597304422591431, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:10:20 - Score: 1300, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8468344856252559, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:10:35 - Score: 1568, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.834131968340877, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:10:51 - Score: 1240, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8216199888157638, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:11:06 - Score: 1124, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8092956889835273, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:11:19 - Score: 276, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.7971562536487744, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:11:37 - Score: 1180, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7851989098440427, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:11:53 - Score: 608, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.773420926196382, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 12:12:07 - Score: 604, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7618196123034363, Learning Rate: 0.001, Gamma: 0.95
